name,description,category,value,type,state,max_attempts,flags,tags,hints,type_data
"The Snake","![The Snake](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2021/master/challenges/thesnake/banner.jpg)\n\nCunning snake has a little riddle for you:\n\n`21{_inake0dltn_2olospena__iht_fthet!}` \n\n\n----\nCreated by `PS` for `Hacky Easter 2021`","crypto","300","standard","visible","0","he2021{dont_fall_into_the_snake_pit!}","","It's a self-made algorithm, not one you'll find in the web.",""
"Ansi Art","![Ansi Art](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2021/master/challenges/ansiart/banner.jpg)\n\nHope you like my ansi art egg!\n\nGet it with `nc __DOCKER_HOST__ 2105`\n\nNote: The service is restarted __DOCKER_RESTART__.\n\n\n----\nCreated by `PS` for `Hacky Easter 2021`","pwn","100","standard","visible","0","he2021{4Ns1MG1k}","","",""
"Ghost in a Shell 2","![Ghost in a Shell 2](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2021/master/challenges/ghostinashell2/banner.jpg)\n\n```\n  _, _,_  _,  _, ___   _ _, _    _,    _, _,_ __, _,  _,    ,  ,\n / _ |_| / \\ (_   |    | |\\ |   /_\\   (_  |_| |_  |   |     |  |\n \\ / | | \\ / , )  |    | | \\|   | |   , ) | | |   | , | ,   |  |\n  ~  ~ ~  ~   ~   ~    ~ ~  ~   ~ ~    ~  ~ ~ ~~~ ~~~ ~~~   ~  ~\n______________________________________________________________________\n ,--.     ,--.  \n| oo |   | oo | \n| ~~ |   | ~~ |   o  o  o  o  o  o  o  o  o  o  o  o  o  o  o  o  o\n|/\\/\\|   |/\\/\\|   \n______________________________________________________________________\n\n```\nConnect to the server, snoop around, and find the flag!\n\n- `ssh __DOCKER_HOST__ -p 2108 -l clyde`\n- password is: `555-ClYdE`\n\nNote: The service is restarted __DOCKER_RESTART__.\n\n\n----\nCreated by `PS` for `Hacky Easter 2021`","forensics","300","standard","visible","0","he2021{wh4ts_y0ur_grewp_4g4in?}","","",""
"Unicorn","![Unicorn](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2021/master/challenges/unicorn/banner.jpg)\n\n\ud83e\udd84 Ain't no CTF without a unicorn! \ud83e\udd84\n\n```\ns7GvyM1RKEstKs7Mz7NVMtQzUFJIzUvO\nT8nMS7dVCg1x07VQsrfj5bJJzs9LL0os\nKQayFRRs0nIS0+0yUo0MjAyrS/MMkw2K\n8uIN84CiJcbGximKtTb6YBVAffpwjQA=\n```\n\n\n----\nCreated by `PS` for `Hacky Easter 2021`","forensics, misc","100","standard","visible","0","he2021{un1c0rn_1nflat333d!}","","Decode and inflate!",""
"Ghost in a Shell 1","![Ghost in a Shell 1](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2021/master/challenges/ghostinashell1/banner.jpg)\n\n```\n  _, _,_  _,  _, ___   _ _, _    _,    _, _,_ __, _,  _,    ,\n / _ |_| / \\ (_   |    | |\\ |   /_\\   (_  |_| |_  |   |     |\n \\ / | | \\ / , )  |    | | \\|   | |   , ) | | |   | , | ,   |\n  ~  ~ ~  ~   ~   ~    ~ ~  ~   ~ ~    ~  ~ ~ ~~~ ~~~ ~~~   ~\n______________________________________________________________________\n ,--.  \n| oo | \n| ~~ |   o  o  o  o  o  o  o  o  o  o  o  o  o  o  o  o  o  o  o  o\n|/\\/\\| \n______________________________________________________________________\n\n```\nConnect to the server, snoop around, and find the flag!\n\n- `ssh __DOCKER_HOST__ -p 2106 -l inky`\n- password is: `mucky_4444`\n\nNote: The service is restarted __DOCKER_RESTART__.\n\n\n----\nCreated by `PS` for `Hacky Easter 2021`","forensics","100","standard","visible","0","he2021{h1dd3n_d0td0td0t!}","","",""
"CrackEd","![CrackEd](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2021/master/challenges/_teaser/banner.jpg)\n\nEd wrote you a letter containing strange symbols:\n\n`;85)8( )\u20210\u00b68\u2020 -\u2021*3(5;)`\n\n\n----\nCreated by `PS` for `Hacky Easter 2021`","crypto","100","standard","visible","0","TEASER SOLVED CONGRATS","","",""
"Memeory 3.0 - The Finale","![Memeory 3.0 - The Finale](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2021/master/challenges/memeory3/banner.jpg)\n\nWe finally fixed Memeory 2.0 and proudly release Memeory 3.0 aka the supersecure-Memeory.\n\nFlagbounty for everyone who can solve 10 successive rounds. Time per round is 30 seconds and only 3 missclicks are allowed.\n\n[http://__DOCKER_HOST__:2107](http://__DOCKER_HOST__:2107)\n\nNote: The service is restarted __DOCKER_RESTART__.\n\n\n----\nCreated by `otaku` for `Hacky Easter 2021`","web","300","standard","visible","0","he2021{0k-1-5u44end3r-y0u-w1n!}","","Not solvable via UI/browser, really.",""
"Layer Cake","![Layer Cake](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2022/master/challenges/layercake/banner.jpg)\n\nSomeone said there would be cake.\n\n`hackyeaster/layercake:latest`\n\n\n----\nCreated by `PS` for `Hacky Easter 2022`","forensics","200","standard","visible","0","he2022{th3_c4k3_is_a_l1e!}","","Docker Hub",""
"Dean's Transfers","![Dean's Transfers](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2022/master/challenges/deanstransfers/banner.jpg)\n\nDean just launched his taxi business named *Dean's Transfers*.\n\nFor his website, he first wanted to register `deans-transfers.com`, but then found out there are so many fancy top-level domains out there. You found a service running on his server - find a flag there!\n\nThe service is running on port 2211 on __DOCKER_HOST__.\n\nNote: The service is restarted __DOCKER_RESTART__.\n\n\n----\nCreated by `PS` for `Hacky Easter 2022`","forensics","200","standard","visible","0","he2022{d34n_dr1v3s_you_3v3rywh3r3!!}","","Service fingerprinting.",""
"Rabbits With Hats","![Rabbits With Hats](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2022/master/challenges/rabbitswithhats/banner.jpg)\n\nI'm looking for a friend of mine who had to flee from his evil owner.\n\nHe must have found a shelter for wildlife, but didn't tell me where it is. He just said he would go join **rabbits with hats**. What the heck do these three words mean??\n\n\ud83d\udea9 Flag\n- `he2022{nameoftheplace}`\n- **all lowercase, no spaces**\n- first letter is **j**, last one is **y**\n- e.g. `he2022{junglezooaviary}`\n\n\n----\nCreated by `PS` for `Hacky Easter 2022`","misc","100","standard","visible","0","he2022{jackrabbitflatwildlifesanctuary}","","- the number of words is important\n- search the nearby area",""
"Statues","![Statues](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2022/master/challenges/statues/banner.jpg)\n\nHope you like statues as much as I do!  \n  \nI created a little tour in my favourite city for you:  \n  \n1. Richard I  \n2. Peter Pan  \n3. Albert  \n4. James Cook  \n  \nI will not reveal my favourite statue, though. Find it yourself!\n  \n\ud83d\udea9 Flag  \n- **it's `not` the one on the challenge image (Joan of Arc)**!\n- name of the person represented by the statue  \n- all lowercase, no spaces, no special chars  \n- e.g. `he2022{johnny} `\n\n\n\n----\nCreated by `PS` for `Hacky Easter 2022`","osint","100","standard","visible","0","he2022{achilles}","","\ud83d\uddfa\ufe0f \ud83d\udd8a\ufe0f \ud83d\udcd0",""
"Dingos!","![Dingos!](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2022/master/challenges/dingos/banner.jpg)\n\nIf you like \ud83d\udc15 Dingos, check out my new web site!\n\n\ud83d\udc49 [my fancy Dingo web site](https://dingos.s3.eu-west-1.amazonaws.com/index.html)\n\n\n\n----\nCreated by `PS` for `Hacky Easter 2022`","cloud","200","standard","visible","0","he2022{4_b4rk1n9_D1NG0_n3v3r_b1735}","","",""
"Bucket Egg","![Bucket Egg](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2022/master/challenges/bucketegg/banner.jpg)\n\nMy Irish friend told me about his new web site. He told me it was in a *bucket* named `egg-in-a-bucket`. No clue what that is...\n\n\n----\nCreated by `PS` for `Hacky Easter 2022`","cloud","100","standard","visible","0","he2022{th1s_3gg_1s_1n_4_buck3t}","","Look in the cloud.",""
"I Key, You Key, ASCII","![I Key, You Key, ASCII](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2022/master/challenges/ikeyyoukeyascii/banner.jpg)\n\nLook what I was drawing in my text editor!\n\n```\n.. .. .. 68 65 32 30 .. .. ..\n.. .. 32 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 32 .. ..\n.. 7b \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 74 ..\n.. 68 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 31 ..\n73 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 5f\n30 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 6e\n33 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 5f\n31 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 73\n5f \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 72\n33 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 33\n33 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 33\n.. 6c \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 79 ..\n.. 5f \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 73 ..\n.. .. 31 \u2588\u2588 \u2588\u2588 \u2588\u2588 \u2588\u2588 6d .. ..\n.. .. .. 70 6c 33 7d .. .. ..\n\n```\n\n\n----\nCreated by `PS` for `Hacky Easter 2022`","misc","50","standard","visible","0","he2022{th1s_0n3_1s_r3333ly_s1mpl3}","","Cyber Chef",""
"The CTF Oracle \ud83d\udd2e","![The CTF Oracle \ud83d\udd2e](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2022/master/challenges/thectforacle/banner.jpg)\n\nThe oracle is using **models** and algorithms to predict how you will perform in CTFs in the future! Please choose a CTF and the total points you made in the last three years.\n\n[http://__DOCKER_HOST__:2206](http://__DOCKER_HOST__:2206)\n\nNote: The service is restarted __DOCKER_RESTART__.\n\n\n----\nCreated by `otaku` for `Hacky Easter 2022`","web","300","standard","visible","0","he2022{ef453cc6-46eb-4c86-87df-cf34a6d2e3d8}","","",""
"Fire Alert","![Fire Alert](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2022/master/challenges/firealarm/banner.jpg)\n\nIn case of fire, break the glass and press the button.\n\n[http://__DOCKER_HOST__:2202](http://__DOCKER_HOST__:2204)\n\nNote: The service is restarted __DOCKER_RESTART__.\n\n\n----\nCreated by `PS` for `Hacky Easter 2022`","web","100","standard","visible","0","he2022{th1s_fl4g_1s_bl4ck_n0t}","","",""
"Coney Island Hackers","![Coney Island Hackers](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2022/master/challenges/coneyislandhackers/banner.jpg)\n\nConey Island Hackers have a secret web portal.\n\nUsing advanced social engineering techniques, you found out their secret passphrase: `eat,sleep,hack,repeat`. However, it seems to take more than just entering the passphrase as-is. Can you find out what?\n\n[http://__DOCKER_HOST__:2202](http://__DOCKER_HOST__:2202)\n\nNote: The service is restarted __DOCKER_RESTART__.\n\n\n----\nCreated by `PS` for `Hacky Easter 2022`","web","200","standard","visible","0","he2022{el_dorado_arkade}","","`if (req.query.passphrase == 'eat,sleep,hack,repeat')`",""
"C0ns0n4nt Pl4n3t","![C0ns0n4nt Pl4n3t](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2022/master/challenges/consonantplanet/banner.jpg)\n\n**Apollo** wants his name printed on that fancy new site. He's constantly failing as vowels and some special characters are blocked when entered.\n\nCan you help him?\n\n[http://__DOCKER_HOST__:2205](http://__DOCKER_HOST__:2205)\n\nNote: The service is restarted __DOCKER_RESTART__.\n\n\n----\nCreated by `PS` for `Hacky Easter 2022`","web","200","standard","visible","0","he2022{v0w3ls_4r3_f0r_n3rd5!}","","Submit `\"` and see what happens.",""
"Copy Protection Pioneers","![Copy Protection Pioneers](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2022/master/challenges/copyprotectionpioneers/banner.jpg)\n\nThe copy protection pioneers were really creative and lived the jet set life.\n\n[http://__DOCKER_HOST__:2209](http://__DOCKER_HOST__:2209)\n\nNote: The service is restarted __DOCKER_RESTART__.\n\n\n----\nCreated by `otaku` for `Hacky Easter 2022`","misc","100","standard","visible","0","he2022{J3t-53t-W1llY-f0r3v3R}","","",""
"\u81ea\u52d5\u8ca9\u58f2\u6a5f","![\u81ea\u52d5\u8ca9\u58f2\u6a5f](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2022/master/challenges/vendingmachine/banner.jpg)\n\nI like these Japanese vending machines! **\u0e51(\u25d5\u203f\u25d5)\u0e51**\n\nIf I could just get a \ud83d\udea9...\n\n[http://__DOCKER_HOST__:2210](http://__DOCKER_HOST__:2210)\n\nNote: The service is restarted __DOCKER_RESTART__.\n\n\n----\nCreated by `PS` for `Hacky Easter 2022`","web","200","standard","visible","0","he2022{p0llut10n_41nt_g00d}","","\u7d99\u627f",""
"Glitch","![Glitch](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2022/master/challenges/glitch/banner.jpg)\n\nI got a flag, but it's glitched somehow.\n\n`}\u0265\u0254\u0287\u1d09\u3057\u0183_\u01dd\u3057\u0287\u0287\u1d09\u3057_\u0250_\u0287\u5df1\u51e0\u027e{\u1105\u1105\uff10\u1105\u01dd\u0265`\n \n\ud83d\udea9 Flag format\n- `he2022{lowercase_and_underscore_only_here}`\n\n\n----\nCreated by `PS` for `Hacky Easter 2022`","misc","50","standard","visible","0","he2022{just_a_little_glitch}","","",""
"Alpha Bravo Charlie","![Alpha Bravo Charlie](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2022/master/challenges/alphabravocharlie/banner.jpg)\n\nI received a strange message on my walkie-talkie today:\n\n`hotel echo two zero two two{papa hotel oscar november echo tango india charlie}`\n\n\ud83d\udea9 Flag\n- lowercase\n- no spaces\n\n\n----\nCreated by `PS` for `Hacky Easter 2022`","misc","50","standard","visible","0","he2022{phonetic}","","",""
"Kn\u00e4ck l\u00e5set","![Kn\u00e4ck l\u00e5set](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2022/master/challenges/knacklaset/banner.jpg)\n\nKn\u00e4ck the c\u00d8de!\n\n```\nkoda   \u2705 \ud83d\udd00 \u274c \n2-9-7  1  0  2 \n2-3-0  0  1  2 \n7-8-2  0  2  1 \n5-1-9  0  0  3 \n5-9-8  0  1  2 \n```\n\n\u2691 format: `he2022{999}`\n\n\n----\nCreated by `PS` for `Hacky Easter 2022`","misc","100","standard","visible","0","he2022{807}","","",""
"Snoopy","![Snoopy](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2022/master/challenges/snoopy/banner.jpg)\n\nSnoopy dog found something interesting.\n\nCan you get something interesting out of the 256 bytes he found?\n\n```\nIKIANJKDPKKAPJIDNKKAPNBHELCBHMGGDLOBLIPCKNAHFOEEBNFHALLBOMPGKJADFKDAGMNGIIGCDPEFBINCIPNFIMKGPPLFOMLGOKFAAIECBPJFM</Password><Domain type=\"NT\">CORP</Domain></Credentials><ClientName>THUMPERSDESK7</ClientName><ClientType>ica30</ClientType><ClientAddress>10.1\n```\n\n\n----\nCreated by `PS` for `Hacky Easter 2022`","crypto","100","standard","visible","0","he2022{ctx1_41nt_3nKryp710n!}","","",""
